,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,F1_score,recall,precision,noise level
10850,TPC-DI,prospect_both_0_30_ec_ev,View-Unionable,24,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","['AgencyID', 'Employer', 'LastName', 'PostalCode', 'AddressLine2', 'CreditRating', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'City', 'State', 'Country', 'Phone']","['AgencyID', 'LastName', 'PostalCode', 'AddressLine2', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag']",0.75,1.0,0.6,N0
10857,TPC-DI,prospect_both_0_1_ac4_av,View-Unionable,24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgID', 'prospect_Pho', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CrRat', 'prospect_A', 'prospect_NumCrCa', 'prospect_NumChil', 'prospect_NumC', 'prospect_MariSt', 'prospect_OORFl']",0.67,1.0,0.5,N4
10859,TPC-DI,prospect_both_0_70_ac2_ev,View-Unionable,24,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","['AgencyID', 'MiddleInitial', 'CreditRating', 'State', 'LastName', 'Income', 'NumberCreditCards', 'City', 'AddressLine2', 'MaritalStatus', 'NumberChildren', 'Age', 'Employer', 'Country', 'AddressLine1', 'FirstName', 'Gender', 'PostalCode']","['LNa', 'AgID', 'AdLi2', 'Ph', 'NeWo', 'AddrL1', 'Inc', 'Emp', 'CrRat', 'Ci', 'Ag', 'Sta', 'MidInit', 'NuCreCar', 'NuCh', 'NumCa', 'MaSta', 'OORF', 'Coun']",0.86,0.8,0.92,N2
10863,TPC-DI,prospect_both_0_30_ac4_av,View-Unionable,24,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'AddressLine1', 'MiddleInitial', 'OwnOrRentFlag', 'NumberCreditCards', 'FirstName', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country', 'Phone']","['prospect_AgID', 'prospect_LaNa', 'prospect_AddrLi1', 'prospect_NWo', 'prospect_Inc', 'prospect_Emp', 'prospect_CreRa', 'prospect_A', 'prospect_MiIni', 'prospect_NuCreCa', 'prospect_NumCh', 'prospect_NuCa', 'prospect_MariSta', 'prospect_OOReF']",0.29,0.17,1.0,N4
10873,TPC-DI,prospect_both_0_1_ac4_ev,View-Unionable,24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgeID', 'prospect_Pho', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CreRat', 'prospect_A', 'prospect_NumCreCar', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MariSt', 'prospect_OOReF']",0.0,0.0,0.0,N4
10887,TPC-DI,prospect_both_0_1_ac3_ev,View-Unionable,24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['gncd', 'phn', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'g', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg']",0.0,0.0,0.0,N3
10898,TPC-DI,prospect_both_0_70_ac3_av,View-Unionable,24,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'CreditRating', 'OwnOrRentFlag', 'NumberCreditCards', 'AddressLine1', 'PostalCode', 'Income', 'FirstName', 'Employer', 'Gender', 'NumberCars', 'State', 'Age', 'MaritalStatus', 'LastName', 'MiddleInitial', 'AddressLine2']","['frstnm', 'gncd', 'pstlcd', 'ddrssln1', 'phn', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'gndr', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",0.52,0.4,0.75,N3
10905,TPC-DI,prospect_both_0_50_ac5_ev,View-Unionable,24,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'NumberCars', 'City', 'CreditRating', 'NetWorth', 'Gender', 'OwnOrRentFlag', 'NumberCreditCards', 'PostalCode', 'FirstName', 'LastName', 'MiddleInitial', 'AddressLine1', 'AddressLine2', 'State']","['prospect_frstnm', 'prospect_gncd', 'prospect_pstlcd', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.59,0.45,0.83,N5
10923,TPC-DI,prospect_both_0_70_ac5_ev,View-Unionable,24,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]","['AgencyID', 'PostalCode', 'NumberChildren', 'AddressLine2', 'AddressLine1', 'Gender', 'NumberCreditCards', 'City', 'NetWorth', 'MiddleInitial', 'Employer', 'CreditRating', 'Phone', 'LastName', 'NumberCars', 'FirstName', 'State', 'Country']","['prospect_lstnm', 'prospect_gncd', 'prospect_pstlcd', 'prospect_ddrssln2', 'prospect_phn', 'prospect_ntwrth', 'prospect_ddrssln1', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.52,0.4,0.75,N5
10928,TPC-DI,prospect_both_0_30_ac5_av,View-Unionable,24,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'State', 'Age', 'Gender', 'City', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine1', 'AddressLine2', 'PostalCode', 'Country', 'Phone']","['prospect_gncd', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.5,0.33,1.0,N5
10932,TPC-DI,prospect_both_0_70_ac2_av,View-Unionable,24,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","['AgencyID', 'State', 'NumberChildren', 'OwnOrRentFlag', 'Income', 'PostalCode', 'Country', 'AddressLine2', 'MiddleInitial', 'AddressLine1', 'MaritalStatus', 'NumberCars', 'NetWorth', 'LastName', 'Employer', 'FirstName', 'Gender', 'City']","['AgID', 'LN', 'PoC', 'AdL2', 'AddrL1', 'Ph', 'NWor', 'Inc', 'Em', 'CreRat', 'A', 'St', 'MiIni', 'NumCreCar', 'NumC', 'NuCh', 'MarSt', 'OwOReFl', 'Co']",0.83,0.8,0.86,N2
10936,TPC-DI,prospect_both_0_50_ac4_ev,View-Unionable,24,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]","['AgencyID', 'Country', 'City', 'Age', 'State', 'NetWorth', 'NumberCreditCards', 'Employer', 'Income', 'Phone', 'OwnOrRentFlag', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1']","['prospect_AgeID', 'prospect_Ph', 'prospect_PoC', 'prospect_AddrL2', 'prospect_NeWor', 'prospect_In', 'prospect_Em', 'prospect_CrRat', 'prospect_C', 'prospect_Ag', 'prospect_St', 'prospect_NumCreCar', 'prospect_NuChi', 'prospect_NuCa', 'prospect_MaSta', 'prospect_OwORF', 'prospect_Co']",0.7,0.64,0.78,N4
10938,TPC-DI,prospect_both_0_70_ac3_ev,View-Unionable,24,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","['AgencyID', 'PostalCode', 'AddressLine2', 'NumberCars', 'FirstName', 'OwnOrRentFlag', 'Income', 'MaritalStatus', 'LastName', 'MiddleInitial', 'AddressLine1', 'State', 'Phone', 'Employer', 'NumberCreditCards', 'Gender', 'City', 'Country']","['frstnm', 'gncd', 'lstnm', 'pstlcd', 'ddrssln2', 'phn', 'ddrssln1', 'ntwrth', 'ncm', 'mplr', 'crdtrtng', 'g', 'stt', 'mddlntl', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg']",0.5,0.4,0.67,N3
10943,TPC-DI,prospect_both_0_50_ac5_av,View-Unionable,24,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0]","['AgencyID', 'City', 'AddressLine2', 'CreditRating', 'OwnOrRentFlag', 'Income', 'FirstName', 'NumberChildren', 'NetWorth', 'MiddleInitial', 'Employer', 'LastName', 'Gender', 'AddressLine1', 'PostalCode', 'State']","['prospect_frstnm', 'prospect_gncd', 'prospect_ddrssln2', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_mddlntl', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_wnrrntflg', 'prospect_cntr']",0.42,0.36,0.5,N5
10947,TPC-DI,prospect_both_0_50_ac2_ev,View-Unionable,25,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]","['AgencyID', 'CreditRating', 'AddressLine1', 'MaritalStatus', 'NetWorth', 'LastName', 'MiddleInitial', 'Age', 'FirstName', 'PostalCode', 'OwnOrRentFlag', 'Gender', 'AddressLine2', 'City', 'State', 'Country']","['LNa', 'FiNa', 'AgeID', 'PosCo', 'Ph', 'AdLi1', 'NeWor', 'Inc', 'Empl', 'CreRa', 'A', 'MidIni', 'NuCreCar', 'NuC', 'NumChil', 'MarSt', 'OwORFl']",0.38,0.27,0.6,N2
10966,TPC-DI,prospect_both_0_70_ec_av,View-Unionable,25,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'MaritalStatus', 'OwnOrRentFlag', 'NetWorth', 'NumberChildren', 'City', 'MiddleInitial', 'Phone', 'Gender', 'CreditRating', 'NumberCars', 'NumberCreditCards', 'Age', 'Country', 'PostalCode', 'LastName', 'FirstName', 'AddressLine1']","['AgencyID', 'AddressLine2', 'PostalCode', 'Phone', 'NetWorth', 'Income', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'Gender', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.9,0.93,0.88,N0
10968,TPC-DI,prospect_both_0_1_ac4_ev,View-Unionable,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgeID', 'prospect_Pho', 'prospect_In', 'prospect_NWo', 'prospect_Empl', 'prospect_CreRat', 'prospect_A', 'prospect_NumCreCar', 'prospect_NuCa', 'prospect_NuCh', 'prospect_MariSt', 'prospect_OOReF']",0.0,0.0,0.0,N4
10973,TPC-DI,prospect_both_0_1_ac1_ev,View-Unionable,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberChildren', 'prospect_NumberCars', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.0,0.0,0.0,N1
10975,TPC-DI,prospect_both_0_70_ac3_av,View-Unionable,25,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'CreditRating', 'OwnOrRentFlag', 'NumberCreditCards', 'AddressLine1', 'PostalCode', 'Income', 'FirstName', 'Employer', 'Gender', 'NumberCars', 'State', 'Age', 'MaritalStatus', 'LastName', 'MiddleInitial', 'AddressLine2']","['gncd', 'frstnm', 'pstlcd', 'phn', 'ddrssln1', 'ncm', 'ntwrth', 'mplr', 'crdtrtng', 'ct', 'g', 'stt', 'gndr', 'nmbrcrdtcrds', 'nmbrcrs', 'nmbrchldrn', 'mrtlstts', 'wnrrntflg', 'cntr']",0.12,0.07,0.5,N3
10976,TPC-DI,prospect_both_0_1_ac5_ev,View-Unionable,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_gncd', 'prospect_phn', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_g', 'prospect_nmbrcrdtcrds', 'prospect_nmbrchldrn', 'prospect_nmbrcrs', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.0,0.0,0.0,N5
10995,TPC-DI,prospect_both_0_30_ac3_ev,View-Unionable,25,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'OwnOrRentFlag', 'FirstName', 'MaritalStatus', 'PostalCode', 'NetWorth', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'City', 'State', 'Country']","['frstnm', 'gncd', 'pstlcd', 'ntwrth', 'phn', 'ncm', 'mplr', 'crdtrtng', 'g', 'nmbrcrdtcrds', 'nmbrchldrn', 'nmbrcrs', 'mrtlstts', 'wnrrntflg']",0.29,0.17,1.0,N3
11009,TPC-DI,prospect_both_0_70_ac2_ev,View-Unionable,25,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","['AgencyID', 'MiddleInitial', 'CreditRating', 'State', 'LastName', 'Income', 'NumberCreditCards', 'City', 'AddressLine2', 'MaritalStatus', 'NumberChildren', 'Age', 'Employer', 'Country', 'AddressLine1', 'FirstName', 'Gender', 'PostalCode']","['AgID', 'LNa', 'AdLi2', 'Ph', 'AddrL1', 'NeWo', 'Inc', 'Emp', 'CrRat', 'Ci', 'Ag', 'Sta', 'MidInit', 'NuCreCar', 'NuCh', 'NumCa', 'MaSta', 'OORF', 'Coun']",0.77,0.67,0.91,N2
11016,TPC-DI,prospect_both_0_1_ac1_av,View-Unionable,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['prospect_AgencyID', 'prospect_Phone', 'prospect_NetWorth', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.0,0.0,0.0,N1
11019,TPC-DI,prospect_both_0_50_ac1_ev,View-Unionable,25,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Age', 'Income', 'AddressLine1', 'CreditRating', 'NumberChildren', 'Country', 'AddressLine2', 'NetWorth', 'OwnOrRentFlag', 'Employer', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'PostalCode']","['prospect_AgencyID', 'prospect_Phone', 'prospect_AddressLine1', 'prospect_NetWorth', 'prospect_AddressLine2', 'prospect_Income', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.5,0.45,0.56,N1
11022,TPC-DI,prospect_both_0_70_ac1_av,View-Unionable,25,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Phone', 'NumberCars', 'CreditRating', 'NumberChildren', 'FirstName', 'City', 'NetWorth', 'MiddleInitial', 'AddressLine2', 'Gender', 'LastName', 'AddressLine1', 'State', 'OwnOrRentFlag', 'PostalCode', 'Country', 'Income']","['prospect_LastName', 'prospect_FirstName', 'prospect_AgencyID', 'prospect_AddressLine2', 'prospect_Phone', 'prospect_AddressLine1', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_City', 'prospect_Age', 'prospect_State', 'prospect_MiddleInitial', 'prospect_Gender', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag']",0.58,0.47,0.78,N1
11024,TPC-DI,prospect_both_0_30_ac5_av,View-Unionable,25,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberChildren', 'State', 'Age', 'Gender', 'City', 'LastName', 'FirstName', 'MiddleInitial', 'AddressLine1', 'AddressLine2', 'PostalCode', 'Country', 'Phone']","['prospect_gncd', 'prospect_ntwrth', 'prospect_ncm', 'prospect_mplr', 'prospect_crdtrtng', 'prospect_ct', 'prospect_g', 'prospect_stt', 'prospect_gndr', 'prospect_nmbrcrdtcrds', 'prospect_nmbrcrs', 'prospect_nmbrchldrn', 'prospect_mrtlstts', 'prospect_wnrrntflg']",0.0,0.0,0.0,N5
11026,TPC-DI,prospect_both_0_70_ac4_ev,View-Unionable,25,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Employer', 'AddressLine2', 'Age', 'Income', 'LastName', 'OwnOrRentFlag', 'Phone', 'MiddleInitial', 'MaritalStatus', 'Country', 'NumberCars', 'AddressLine1', 'NumberChildren', 'CreditRating', 'FirstName', 'Gender', 'PostalCode']","['prospect_AgeID', 'prospect_LaN', 'prospect_Ph', 'prospect_AddLi2', 'prospect_In', 'prospect_NWor', 'prospect_AdLi1', 'prospect_Em', 'prospect_CreRat', 'prospect_Ci', 'prospect_Ag', 'prospect_St', 'prospect_MidIn', 'prospect_NuCreCa', 'prospect_NuCh', 'prospect_NuCa', 'prospect_MariSt', 'prospect_OwOReFl', 'prospect_Co']",0.12,0.07,0.5,N4
11032,TPC-DI,prospect_both_0_50_ec_ev,View-Unionable,25,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'AddressLine1', 'FirstName', 'MaritalStatus', 'NetWorth', 'OwnOrRentFlag', 'State', 'NumberChildren', 'Country', 'PostalCode', 'NumberCreditCards', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'City']","['AgencyID', 'FirstName', 'PostalCode', 'Phone', 'AddressLine1', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'Age', 'State', 'NumberCreditCards', 'NumberCars', 'NumberChildren', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.8,0.91,0.71,N0
11069,TPC-DI,prospect_both_0_50_ec_av,View-Unionable,25,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['AgencyID', 'Age', 'Country', 'Phone', 'NetWorth', 'MiddleInitial', 'OwnOrRentFlag', 'Employer', 'NumberChildren', 'NumberCreditCards', 'City', 'LastName', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2']","['AgencyID', 'PostalCode', 'Phone', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'City', 'Age', 'State', 'MiddleInitial', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag', 'Country']",0.8,0.91,0.71,N0
11078,TPC-DI,prospect_both_0_70_ac2_av,View-Unionable,25,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","['AgencyID', 'State', 'NumberChildren', 'OwnOrRentFlag', 'Income', 'PostalCode', 'Country', 'AddressLine2', 'MiddleInitial', 'AddressLine1', 'MaritalStatus', 'NumberCars', 'NetWorth', 'LastName', 'Employer', 'FirstName', 'Gender', 'City']","['LN', 'AgID', 'PoC', 'Ph', 'AdL2', 'AddrL1', 'Inc', 'NWor', 'Em', 'CreRat', 'A', 'St', 'MiIni', 'NumCreCar', 'NumC', 'NuCh', 'MarSt', 'OwOReFl', 'Co']",0.69,0.6,0.82,N2
11087,TPC-DI,prospect_both_0_30_ac1_ev,View-Unionable,25,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['AgencyID', 'NumberCreditCards', 'CreditRating', 'Employer', 'NetWorth', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State']","['prospect_LastName', 'prospect_AgencyID', 'prospect_Phone', 'prospect_Income', 'prospect_NetWorth', 'prospect_Employer', 'prospect_CreditRating', 'prospect_Age', 'prospect_NumberCreditCards', 'prospect_NumberCars', 'prospect_NumberChildren', 'prospect_MaritalStatus', 'prospect_OwnOrRentFlag', 'prospect_Country']",0.0,0.0,0.0,N1
11088,TPC-DI,prospect_both_0_30_ac2_av,View-Unionable,25,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Employer', 'Country', 'MiddleInitial', 'Age', 'LastName', 'FirstName', 'Gender', 'AddressLine1', 'AddressLine2', 'PostalCode', 'City', 'State', 'Phone']","['AgID', 'LaN', 'NWo', 'In', 'Empl', 'CreRa', 'Ag', 'MidInit', 'NuCreCar', 'NuChil', 'NuC', 'MaSt', 'OOReFl', 'Coun']",0.73,0.67,0.8,N2
11094,TPC-DI,prospect_both_0_30_ec_av,View-Unionable,25,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]","['AgencyID', 'Income', 'FirstName', 'AddressLine1', 'NumberCreditCards', 'Age', 'LastName', 'MiddleInitial', 'Gender', 'AddressLine2', 'PostalCode', 'City', 'State', 'Country']","['FirstName', 'AgencyID', 'Phone', 'AddressLine1', 'Income', 'NetWorth', 'Employer', 'CreditRating', 'Age', 'NumberCreditCards', 'NumberChildren', 'NumberCars', 'MaritalStatus', 'OwnOrRentFlag']",0.86,1.0,0.75,N0
11108,TPC-DI,prospect_both_0_50_ac4_ev,View-Unionable,25,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['AgencyID', 'Country', 'City', 'Age', 'State', 'NetWorth', 'NumberCreditCards', 'Employer', 'Income', 'Phone', 'OwnOrRentFlag', 'LastName', 'FirstName', 'MiddleInitial', 'Gender', 'AddressLine1']","['prospect_AgeID', 'prospect_Ph', 'prospect_AddrL2', 'prospect_PoC', 'prospect_NeWor', 'prospect_In', 'prospect_Em', 'prospect_CrRat', 'prospect_C', 'prospect_Ag', 'prospect_St', 'prospect_NumCreCar', 'prospect_NuCa', 'prospect_NuChi', 'prospect_MaSta', 'prospect_OwORF', 'prospect_Co']",0.53,0.36,1.0,N4
